student_id,date,snack_type,quantity
S001,2024-10-11 17:10:14.193028,Nuts,4
S001,2024-10-12 17:10:14.193028,Nuts,2
S001,2024-10-13 17:10:14.193028,Nuts,3
S001,2024-10-14 17:10:14.193028,Nuts,5
S001,2024-10-15 17:10:14.193028,Nuts,1
S001,2024-10-16 17:10:14.193028,Nuts,5
S001,2024-10-17 17:10:14.193028,Nuts,4
S002,2024-10-11 17:10:14.193028,Chips,5
S002,2024-10-12 17:10:14.193028,Chips,1
S002,2024-10-13 17:10:14.193028,Chips,4
S002,2024-10-14 17:10:14.193028,Chips,5
S002,2024-10-15 17:10:14.193028,Chips,4
S002,2024-10-16 17:10:14.193028,Chips,2
S002,2024-10-17 17:10:14.193028,Chips,2
S003,2024-10-11 17:10:14.193028,Nuts,5
S003,2024-10-12 17:10:14.193028,Nuts,4
S003,2024-10-13 17:10:14.193028,Nuts,1
S003,2024-10-14 17:10:14.193028,Nuts,5
S003,2024-10-15 17:10:14.193028,Nuts,2
S003,2024-10-16 17:10:14.193028,Nuts,2
S003,2024-10-17 17:10:14.193028,Nuts,5
S004,2024-10-11 17:10:14.193028,Chips,4
S004,2024-10-12 17:10:14.193028,Chips,2
S004,2024-10-13 17:10:14.193028,Chips,4
S004,2024-10-14 17:10:14.193028,Chips,2
S004,2024-10-15 17:10:14.193028,Chips,2
S004,2024-10-16 17:10:14.193028,Chips,3
S004,2024-10-17 17:10:14.193028,Chips,2
S005,2024-10-11 17:10:14.193028,Chocolate,1
S005,2024-10-12 17:10:14.193028,Chocolate,5
S005,2024-10-13 17:10:14.193028,Chocolate,5
S005,2024-10-14 17:10:14.193028,Chocolate,4
S005,2024-10-15 17:10:14.193028,Chocolate,2
S005,2024-10-16 17:10:14.193028,Chocolate,1
S005,2024-10-17 17:10:14.193028,Chocolate,4
S006,2024-10-11 17:10:14.193028,Nuts,3
S006,2024-10-12 17:10:14.193028,Nuts,4
S006,2024-10-13 17:10:14.193028,Nuts,4
S006,2024-10-14 17:10:14.193028,Nuts,2
S006,2024-10-15 17:10:14.193028,Nuts,3
S006,2024-10-16 17:10:14.193028,Nuts,4
S006,2024-10-17 17:10:14.193028,Nuts,1
S007,2024-10-11 17:10:14.193028,Fruit,1
S007,2024-10-12 17:10:14.193028,Fruit,5
S007,2024-10-13 17:10:14.193028,Fruit,3
S007,2024-10-14 17:10:14.193028,Fruit,3
S007,2024-10-15 17:10:14.193028,Fruit,5
S007,2024-10-16 17:10:14.193028,Fruit,4
S007,2024-10-17 17:10:14.193028,Fruit,3
S008,2024-10-11 17:10:14.193028,Fruit,1
S008,2024-10-12 17:10:14.193028,Fruit,1
S008,2024-10-13 17:10:14.193028,Fruit,2
S008,2024-10-14 17:10:14.193028,Fruit,3
S008,2024-10-15 17:10:14.193028,Fruit,4
S008,2024-10-16 17:10:14.193028,Fruit,5
S008,2024-10-17 17:10:14.193028,Fruit,5
S009,2024-10-11 17:10:14.193028,Fruit,4
S009,2024-10-12 17:10:14.193028,Fruit,2
S009,2024-10-13 17:10:14.193028,Fruit,5
S009,2024-10-14 17:10:14.193028,Fruit,3
S009,2024-10-15 17:10:14.193028,Fruit,2
S009,2024-10-16 17:10:14.193028,Fruit,3
S009,2024-10-17 17:10:14.193028,Fruit,1
S010,2024-10-11 17:10:14.193028,Pizza,2
S010,2024-10-12 17:10:14.193028,Pizza,5
S010,2024-10-13 17:10:14.193028,Pizza,2
S010,2024-10-14 17:10:14.193028,Pizza,2
S010,2024-10-15 17:10:14.193028,Pizza,2
S010,2024-10-16 17:10:14.193028,Pizza,2
S010,2024-10-17 17:10:14.193028,Pizza,3
S011,2024-10-11 17:10:14.193028,Chocolate,1
S011,2024-10-12 17:10:14.193028,Chocolate,4
S011,2024-10-13 17:10:14.193028,Chocolate,2
S011,2024-10-14 17:10:14.193028,Chocolate,5
S011,2024-10-15 17:10:14.193028,Chocolate,2
S011,2024-10-16 17:10:14.193028,Chocolate,5
S011,2024-10-17 17:10:14.193028,Chocolate,3
S012,2024-10-11 17:10:14.193028,Chips,5
S012,2024-10-12 17:10:14.193028,Chips,4
S012,2024-10-13 17:10:14.193028,Chips,1
S012,2024-10-14 17:10:14.193028,Chips,5
S012,2024-10-15 17:10:14.193028,Chips,5
S012,2024-10-16 17:10:14.193028,Chips,1
S012,2024-10-17 17:10:14.193028,Chips,4
S013,2024-10-11 17:10:14.193028,Chocolate,2
S013,2024-10-12 17:10:14.193028,Chocolate,5
S013,2024-10-13 17:10:14.193028,Chocolate,1
S013,2024-10-14 17:10:14.193028,Chocolate,3
S013,2024-10-15 17:10:14.193028,Chocolate,1
S013,2024-10-16 17:10:14.193028,Chocolate,3
S013,2024-10-17 17:10:14.193028,Chocolate,4
S014,2024-10-11 17:10:14.193028,Pizza,2
S014,2024-10-12 17:10:14.193028,Pizza,1
S014,2024-10-13 17:10:14.193028,Pizza,5
S014,2024-10-14 17:10:14.193028,Pizza,4
S014,2024-10-15 17:10:14.193028,Pizza,1
S014,2024-10-16 17:10:14.193028,Pizza,5
S014,2024-10-17 17:10:14.193028,Pizza,1
S015,2024-10-11 17:10:14.193028,Chips,3
S015,2024-10-12 17:10:14.193028,Chips,1
S015,2024-10-13 17:10:14.193028,Chips,1
