student_id,age,major,favorite_snack,meme_quality
S001,24,Science,Nuts,2.650913108795474
S002,22,Social Sciences,Chips,2.403950683025824
S003,20,Business,Nuts,6.41003510568888
S004,20,Social Sciences,Chips,7.497988950401423
S005,23,Arts,Chocolate,2.650640588680904
S006,21,Arts,Nuts,4.887505167779041
S007,18,Business,Fruit,4.598748745437299
S008,21,Science,Fruit,4.442157921404465
S009,21,Engineering,Fruit,8.739463660626885
S010,24,Social Sciences,Pizza,1.5854643368675156
S011,21,Engineering,Chocolate,6.069593960609853
S012,19,Engineering,Chips,1.8790490260574548
S013,21,Science,Chocolate,2.0983441136030097
S014,22,Business,Pizza,3.3290198344001523
S015,21,Arts,Chips,6.109302950379924
S016,22,Arts,Chips,5.047787200327891
S017,19,Science,Chocolate,1.4070456001948426
S018,22,Social Sciences,Chips,5.857229191501718
S019,19,Engineering,Chocolate,6.4633082291801625
S020,22,Engineering,Nuts,8.219772826786357
S021,18,Engineering,Pizza,7.9502029236699165
S022,21,Business,Fruit,7.361716094628554
S023,20,Business,Pizza,6.453639773029103
S024,19,Arts,Pizza,9.234637079894027
S025,18,Science,Chips,1.8586910484137018
S026,24,Social Sciences,Fruit,6.321680089369544
S027,23,Business,Fruit,5.249934326457543
S028,22,Business,Pizza,7.495565690483859
S029,24,Business,Pizza,7.3959660071720865
S030,19,Arts,Chocolate,1.97102284293974
S031,24,Engineering,Chocolate,6.069480147787453
S032,21,Social Sciences,Nuts,5.858569821715058
S033,22,Science,Nuts,1.6928191884591368
S034,20,Business,Chocolate,9.367278871083158
S035,22,Engineering,Nuts,8.84314531168946
S036,21,Science,Chocolate,4.748589530833296
S037,23,Business,Chips,2.09879159230606
S038,18,Engineering,Pizza,3.051416462877475
S039,23,Engineering,Chocolate,4.173119707007521
S040,20,Business,Pizza,5.363469742230849
S041,18,Business,Chips,4.038536542632651
S042,24,Business,Pizza,4.634525539522367
S043,23,Engineering,Chips,9.662025654479
S044,23,Arts,Fruit,3.707904788350927
S045,18,Engineering,Fruit,6.486079005819072
S046,19,Science,Nuts,4.105641232240147
S047,18,Business,Chips,5.778411249854227
S048,19,Science,Fruit,4.32689010455264
S049,18,Social Sciences,Chocolate,9.850808268053587
S050,23,Business,Pizza,2.356457895688865
S051,20,Social Sciences,Fruit,6.318036488694176
S052,20,Science,Fruit,7.4003457919421605
S053,24,Business,Chocolate,6.806555113685048
S054,21,Engineering,Pizza,4.578148189787701
S055,24,Arts,Pizza,7.081211053353527
S056,18,Engineering,Chips,9.322242564507064
S057,23,Arts,Fruit,3.056950196175697
S058,19,Engineering,Chocolate,5.766855205204059
S059,19,Engineering,Chocolate,6.024641082463878
S060,20,Engineering,Pizza,4.142886171513948
S061,20,Science,Pizza,6.77828481538859
S062,20,Engineering,Chocolate,9.086987696743714
S063,21,Business,Pizza,6.971515921972502
S064,22,Arts,Chips,5.37052378227604
S065,20,Social Sciences,Pizza,2.583327274096108
S066,21,Engineering,Nuts,2.6094043829919595
S067,24,Business,Pizza,3.772547126671503
S068,21,Business,Fruit,6.726993563673059
S069,23,Social Sciences,Fruit,9.02841899659402
S070,20,Business,Chips,4.150705669252082
S071,18,Science,Pizza,2.7571868901824006
S072,22,Business,Chocolate,1.2188436978830846
S073,18,Engineering,Chocolate,9.464127259176228
S074,22,Social Sciences,Fruit,7.729468965076725
S075,22,Social Sciences,Pizza,5.974884701519409
S076,24,Business,Chocolate,8.677085099206241
S077,24,Social Sciences,Nuts,2.7181992803531143
S078,18,Business,Chips,6.0112113621251515
S079,24,Arts,Fruit,6.1305505308042845
S080,19,Arts,Fruit,3.657615295770449
S081,19,Engineering,Pizza,2.2295919829782593
S082,23,Social Sciences,Chips,8.284250399306622
S083,20,Arts,Pizza,6.503623397791125
S084,21,Arts,Pizza,6.651049734537724
S085,21,Engineering,Chocolate,8.97955434055594
S086,24,Science,Chips,1.845837458567821
S087,24,Business,Pizza,2.3953745505496977
S088,23,Social Sciences,Chips,8.743641564805078
S089,18,Science,Chips,8.403405045936925
S090,23,Business,Chocolate,3.939861176164368
S091,22,Science,Chocolate,9.687266473516928
S092,24,Science,Nuts,2.749420305953857
S093,23,Business,Chocolate,2.1947088001867283
S094,19,Science,Chips,3.9066082564712135
S095,18,Business,Chocolate,7.696383786992039
S096,19,Social Sciences,Chips,9.663835732101326
S097,24,Engineering,Chocolate,4.680576499728429
S098,19,Arts,Pizza,4.98117006757994
S099,23,Engineering,Nuts,3.5194050725134858
S100,22,Social Sciences,Nuts,4.776400561850109
